Покупательская активность,Тип сервиса,Разрешить сообщать,Маркет_актив_6_мес,Длительность,Акционные_покупки,Популярная_категория,Средний_просмотр_категорий_за_визит,Выручка_от_клиента_текущий_месяц,Разность_выручки_тек_прошлый_месяц,Ошибка_сервиса,Страниц_за_визит,Всего_минут_текущем_месяце,Всего_минут_предыдущий_месяц
Снизилась,стандарт,да,4,490,0.98,Кухонная посуда,3,4563,-568,3,2,11,9
Снизилась,премиум,да,4,820,0.22,Косметика и аксесуары,1,4670,-473,8,6,8,7
Снизилась,стандарт,да,4,261,0.31,Кухонная посуда,1,4128,-522,1,2,12,9
Снизилась,стандарт,нет,2,340,0.4,Домашний текстиль,1,4105,-333,1,3,11,8
Снизилась,стандарт,да,3,304,0.25,Домашний текстиль,1,4305,-323,5,3,11,11
Снизилась,премиум,да,4,937,0.3,Кухонная посуда,4,4737,-248,1,5,8,9
Снизилась,стандарт,нет,4,223,0.29,Мелкая бытовая техника и электроника,1,4327,-602,1,3,9,10
Снизилась,стандарт,да,5,714,0.24,Товары для детей,2,4989,-469,4,4,8,13
Снизилась,стандарт,да,5,622,0.31,Товары для детей,2,4871,-485,2,5,11,11
Снизилась,стандарт,да,4,799,0.27,Косметика и аксесуары,3,4523,-276,5,4,6,6
Снизилась,стандарт,да,5,326,0.89,Техника для красоты и здоровья,2,4995,-1108,5,2,13,12
Снизилась,премиум,да,4,1079,0.3,Товары для детей,4,4603,-738,4,3,9,10
Снизилась,стандарт,да,4,538,0.35,Товары для детей,2,4985,-734,2,4,11,15
Снизилась,стандарт,да,3,607,0.28,Кухонная посуда,2,4606,-605,3,1,9,10
Снизилась,стандарт,да,4,753,0.22,Косметика и аксесуары,3,4635,-503,3,4,11,10
Снизилась,премиум,да,4,648,0.21,Косметика и аксесуары,1,4978,-398,4,6,9,10
Снизилась,премиум,да,1,795,0.29,Домашний текстиль,2,4986,-942,7,6,10,10
Снизилась,стандарт,да,5,388,0.23,Мелкая бытовая техника и электроника,2,4530,-258,6,2,8,5
Снизилась,стандарт,нет,4,561,0.98,Товары для детей,1,4595,-537,5,2,10,11
Снизилась,премиум,да,2,722,0.89,Домашний текстиль,1,4491,-84,7,6,8,9
